URL,family,salary/state type,current inbound links,crawl depth
"https://aftertaxtool.com/61000-salary-after-tax-uk.html","UK annual salary","UK annual salary","34","2"
"https://aftertaxtool.com/61000-after-tax-monthly.html","UK monthly salary","UK monthly salary","26","2"
"https://aftertaxtool.com/61000-after-tax-weekly.html","UK weekly salary","UK weekly salary","26","2"
"https://aftertaxtool.com/62000-salary-after-tax-uk.html","UK annual salary","UK annual salary","44","2"
"https://aftertaxtool.com/62000-after-tax-monthly.html","UK monthly salary","UK monthly salary","24","2"
"https://aftertaxtool.com/62000-after-tax-weekly.html","UK weekly salary","UK weekly salary","23","2"
"https://aftertaxtool.com/63000-salary-after-tax-uk.html","UK annual salary","UK annual salary","33","3"
"https://aftertaxtool.com/63000-after-tax-monthly.html","UK monthly salary","UK monthly salary","25","3"
"https://aftertaxtool.com/63000-after-tax-weekly.html","UK weekly salary","UK weekly salary","25","3"
"https://aftertaxtool.com/64000-salary-after-tax-uk.html","UK annual salary","UK annual salary","33","2"
"https://aftertaxtool.com/64000-after-tax-monthly.html","UK monthly salary","UK monthly salary","23","3"
"https://aftertaxtool.com/64000-after-tax-weekly.html","UK weekly salary","UK weekly salary","24","3"
"https://aftertaxtool.com/66000-salary-after-tax-uk.html","UK annual salary","UK annual salary","31","3"
"https://aftertaxtool.com/66000-after-tax-monthly.html","UK monthly salary","UK monthly salary","25","3"
"https://aftertaxtool.com/66000-after-tax-weekly.html","UK weekly salary","UK weekly salary","29","3"
"https://aftertaxtool.com/67000-salary-after-tax-uk.html","UK annual salary","UK annual salary","31","2"
"https://aftertaxtool.com/67000-after-tax-monthly.html","UK monthly salary","UK monthly salary","20","3"
"https://aftertaxtool.com/67000-after-tax-weekly.html","UK weekly salary","UK weekly salary","24","2"
"https://aftertaxtool.com/68000-salary-after-tax-uk.html","UK annual salary","UK annual salary","32","2"
"https://aftertaxtool.com/68000-after-tax-monthly.html","UK monthly salary","UK monthly salary","24","2"
"https://aftertaxtool.com/68000-after-tax-weekly.html","UK weekly salary","UK weekly salary","25","2"
"https://aftertaxtool.com/69000-salary-after-tax-uk.html","UK annual salary","UK annual salary","28","2"
"https://aftertaxtool.com/69000-after-tax-monthly.html","UK monthly salary","UK monthly salary","19","2"
"https://aftertaxtool.com/69000-after-tax-weekly.html","UK weekly salary","UK weekly salary","23","2"
"https://aftertaxtool.com/71000-salary-after-tax-uk.html","UK annual salary","UK annual salary","30","2"
"https://aftertaxtool.com/71000-after-tax-monthly.html","UK monthly salary","UK monthly salary","20","2"
"https://aftertaxtool.com/71000-after-tax-weekly.html","UK weekly salary","UK weekly salary","24","2"
"https://aftertaxtool.com/72000-salary-after-tax-uk.html","UK annual salary","UK annual salary","30","2"
"https://aftertaxtool.com/72000-after-tax-monthly.html","UK monthly salary","UK monthly salary","22","2"
"https://aftertaxtool.com/72000-after-tax-weekly.html","UK weekly salary","UK weekly salary","24","2"
"https://aftertaxtool.com/73000-salary-after-tax-uk.html","UK annual salary","UK annual salary","30","3"
"https://aftertaxtool.com/73000-after-tax-monthly.html","UK monthly salary","UK monthly salary","21","3"
"https://aftertaxtool.com/73000-after-tax-weekly.html","UK weekly salary","UK weekly salary","24","3"
"https://aftertaxtool.com/74000-salary-after-tax-uk.html","UK annual salary","UK annual salary","31","2"
"https://aftertaxtool.com/74000-after-tax-monthly.html","UK monthly salary","UK monthly salary","21","3"
"https://aftertaxtool.com/74000-after-tax-weekly.html","UK weekly salary","UK weekly salary","24","3"
"https://aftertaxtool.com/76000-salary-after-tax-uk.html","UK annual salary","UK annual salary","32","2"
"https://aftertaxtool.com/76000-after-tax-monthly.html","UK monthly salary","UK monthly salary","20","3"
"https://aftertaxtool.com/76000-after-tax-weekly.html","UK weekly salary","UK weekly salary","25","3"
"https://aftertaxtool.com/77000-salary-after-tax-uk.html","UK annual salary","UK annual salary","33","1"
"https://aftertaxtool.com/77000-after-tax-monthly.html","UK monthly salary","UK monthly salary","26","2"
"https://aftertaxtool.com/77000-after-tax-weekly.html","UK weekly salary","UK weekly salary","31","2"
"https://aftertaxtool.com/78000-salary-after-tax-uk.html","UK annual salary","UK annual salary","32","2"
"https://aftertaxtool.com/78000-after-tax-monthly.html","UK monthly salary","UK monthly salary","22","2"
"https://aftertaxtool.com/78000-after-tax-weekly.html","UK weekly salary","UK weekly salary","26","2"
"https://aftertaxtool.com/79000-salary-after-tax-uk.html","UK annual salary","UK annual salary","30","2"
"https://aftertaxtool.com/79000-after-tax-monthly.html","UK monthly salary","UK monthly salary","24","2"
"https://aftertaxtool.com/79000-after-tax-weekly.html","UK weekly salary","UK weekly salary","29","2"
"https://aftertaxtool.com/81000-salary-after-tax-uk.html","UK annual salary","UK annual salary","29","2"
"https://aftertaxtool.com/81000-after-tax-monthly.html","UK monthly salary","UK monthly salary","21","2"
