route,family,inbound,outgoing,depth,pagerank,title,h1,canonical
"/","homepage","24734","104","0","0.03929743813710509","Salary After Tax Calculator UK &amp; US | Take-Home Pay","Salary After Tax Calculator","https://aftertaxtool.com/"
"/tax-assumptions.html","authority/trust/guide","22671","12","1","0.030555505659557454","Tax Assumptions | AfterTaxTool Salary Estimate Notes","Tax Assumptions Used Across AfterTaxTool","https://aftertaxtool.com/tax-assumptions.html"
"/methodology.html","authority/trust/guide","22670","15","1","0.030508488726111595","Methodology | How AfterTaxTool Calculates Salary After Tax","How AfterTaxTool Calculates Salary After Tax","https://aftertaxtool.com/methodology.html"
"/about.html","authority/trust/guide","22523","12","1","0.030255951258805508","About AfterTaxTool | Salary After Tax and Take-Home Pay Guides","About AfterTaxTool","https://aftertaxtool.com/about.html"
"/editorial-standards.html","authority/trust/guide","22523","10","1","0.030255951258805508","Editorial Standards | AfterTaxTool Maintenance and QA","Editorial Standards and Site Maintenance","https://aftertaxtool.com/editorial-standards.html"
"/salary-after-tax-us.html","core hub","23727","219","1","0.027324344035162023","Salary After Tax US | Take-Home Pay Hub","Salary After Tax in the United States","https://aftertaxtool.com/salary-after-tax-us.html"
"/gross-vs-net-pay.html","authority/trust/guide","18472","25","1","0.023634167279288545","Gross vs Net Pay | Salary, Take-Home Pay and Deductions Explained","Gross vs Net Pay","https://aftertaxtool.com/gross-vs-net-pay.html"
"/monthly-budget-calculator.html","calculator/decision/support","18958","23","1","0.022473651128614318","Monthly Budget Calculator | Take-Home Pay and Cash-Flow Planner","Monthly Budget Calculator","https://aftertaxtool.com/monthly-budget-calculator.html"
"/salary-after-tax-by-state.html","core hub","21270","208","1","0.019798529497787636","Salary After Tax by State | US Take-Home Pay Guide","Salary After Tax by State","https://aftertaxtool.com/salary-after-tax-by-state.html"
"/salary-after-tax-uk.html","core hub","1400","74","1","0.018074196741498735","Salary After Tax UK | Take-Home Pay Hub","Salary After Tax UK","https://aftertaxtool.com/salary-after-tax-uk.html"
"/us-state-tax-explained.html","authority/trust/guide","18529","23","1","0.015588372715654143","US State Tax Explained | Why Take-Home Pay Differs by State","US State Tax Explained","https://aftertaxtool.com/us-state-tax-explained.html"
"/payslip-explained.html","authority/trust/guide","22","19","2","0.01144194761160763","Payslip Explained | Deductions, Tax and Take-Home Pay","Payslip Explained","https://aftertaxtool.com/payslip-explained.html"
"/salary-guides.html","core hub","836","77","1","0.01112811452140795","Salary Guides | UK and US Take-Home Pay","Salary Guides – UK and US Income Examples","https://aftertaxtool.com/salary-guides.html"
"/planning-calculators.html","core hub","20934","47","1","0.011083137124311828","Planning Calculators | Salary, Housing and Budget Tools","Planning Calculators","https://aftertaxtool.com/planning-calculators.html"
"/salary-tax-calculator-uk.html","calculator/decision/support","523","41","1","0.008168735474604763","Salary Tax Calculator UK | Take-Home Pay Hub","Salary Tax Calculator UK","https://aftertaxtool.com/salary-tax-calculator-uk.html"
"/monthly-pay-after-tax-calculator.html","calculator/decision/support","636","31","1","0.007203412166025413","Monthly Pay After Tax Calculator | Estimate Monthly Take-Home Pay","Monthly Pay After Tax Calculator","https://aftertaxtool.com/monthly-pay-after-tax-calculator.html"
"/take-home-pay-after-housing-calculator.html","calculator/decision/support","13910","22","1","0.006914189750580387","Take-Home Pay After Housing Calculator | Disposable Income","Take-Home Pay After Housing Calculator","https://aftertaxtool.com/take-home-pay-after-housing-calculator.html"
"/cost-of-living-comparison-calculator.html","calculator/decision/support","10922","25","1","0.006790512321916844","Cost of Living Comparison Calculator | Take-Home Pay by Location","Cost of Living Comparison Calculator","https://aftertaxtool.com/cost-of-living-comparison-calculator.html"
"/understanding-paycheck-deductions.html","calculator/decision/support","13923","9","1","0.006657780972812249","Paycheck Deductions Explained","Understanding Paycheck Deductions","https://aftertaxtool.com/understanding-paycheck-deductions.html"
"/how-state-income-tax-affects-paychecks.html","calculator/decision/support","12744","9","1","0.006490971573871671","State Income Tax and Paychecks","How State Income Tax Affects Paychecks","https://aftertaxtool.com/how-state-income-tax-affects-paychecks.html"
"/how-take-home-pay-is-calculated.html","other","12724","9","1","0.006444985214915575","How Take-Home Pay Is Calculated","How Take-Home Pay Is Calculated","https://aftertaxtool.com/how-take-home-pay-is-calculated.html"
"/uk-income-tax-explained.html","authority/trust/guide","750","13","2","0.006082974642998106","UK Income Tax Explained | Salary After Tax","UK Income Tax Explained","https://aftertaxtool.com/uk-income-tax-explained.html"
